ID;name;count;lat;lon
32418;West Hyattsville Metro;229;38.95533;-76.96800
31029;N Veitch St & 20th St N;228;38.89693;-77.08649
31935;National Airport;228;38.85293;-77.04594
31970;First St & Fayette St;223;38.81702;-77.05010
31083;Potomac Greens Dr & Slaters Ln;221;38.82175;-77.04749
31048;King St Metro South;215;38.80576;-77.06063
31502;John McCormack Dr & Michigan Ave NE;215;38.93461;-76.99550
32027;Battery Ln & Trolley Trail;215;38.99237;-77.10010
32014;Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir;212;38.96175;-77.08601
31093;21st St & N Pierce St;209;38.89898;-77.07832
31508;Gallaudet / 8th St & Florida Ave NE;209;38.90509;-76.99414
32048;Bethesda Metro / Wisconsin Ave & Old Georgetown Rd;209;38.98469;-77.09454
31820;Anacostia Park;208;38.87335;-76.98340
31097;Saint Asaph St & Madison St;207;38.81271;-77.04410
31904;East Falls Church Metro / Sycamore St & 19th St N;207;38.88534;-77.15644
31936;Fern St & Army Navy Dr;207;38.86484;-77.05688
31043;St Asaph & Pendleton St;206;38.81074;-77.04463
31950;Long Bridge Aquatic Center;205;38.87056;-77.04409
31025;Central Library / Quincy St & 10th St N;204;38.88397;-77.10782
31040;GMU/Fairfax Dr & Kenmore St;204;38.88469;-77.10033
31511;12th & Irving St NE;204;38.92865;-76.99095
31086;Mount Vernon Ave & E Del Ray Ave;202;38.82595;-77.05855
31206;19th & E Street NW;202;38.89520;-77.04360
31926;Wilson Blvd. & N. Vermont St.;200;38.87947;-77.11455
31074;TJ Cmty Ctr / 2nd St & S Old Glebe Rd;199;38.86943;-77.09560
31080;Langston Blvd & N Scott St;199;38.89762;-77.08085
31909;Mount Vernon Ave & Four Mile Run Park;197;38.84342;-77.06402
31940;Arlington Blvd & Fairfax Dr;197;38.88626;-77.08426
31020;Wilson Blvd & N Franklin Rd;196;38.89041;-77.08890
31047;Braddock Rd Metro North;195;38.81457;-77.05281
31931;N Pitt St & Montgomery St;195;38.81403;-77.04282
31525;Trinidad Rec Center;194;38.90629;-76.98321
31068;Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St;190;38.85635;-77.11158
31320;American University East Campus;187;38.93629;-77.08715
31938;23rd St S & Hayes St;183;38.85300;-77.05950
31403;5th & Kennedy St NW;181;38.95657;-77.01979
31055;28th St & S Meade St;178;38.84623;-77.06928
31082;Eisenhower Ave & Mill Race Ln;178;38.80110;-77.06895
31088;Mount Vernon Ave & Kennedy St;176;38.83307;-77.05982
31716;Kingman Island/The Fields at RFK;176;38.89595;-76.96785
31956;Reed & Edison;176;38.83728;-77.06090
31051;Arlington Blvd & N Queen St;174;38.88936;-77.07730
31049;Utah St & 11th St N;171;38.88367;-77.11390
31708;Anacostia Ave & Benning Rd NE / River Terrace ;171;38.89654;-76.96012
31044;King St & Patrick St;167;38.80531;-77.04989
31415;Georgia Ave & Kennedy St NW;164;38.95673;-77.02790
31420;17th & Upshur St NW;164;38.94216;-77.03868
31316;Yuma St & Tenley Circle NW;162;38.94619;-77.08057
31414;Georgia Ave & Piney Branch Rd NW;162;38.96752;-77.02796
31322;48th Pl & MacArthur Blvd NW;160;38.91704;-77.09576
31402;14th St Heights / 14th & Crittenden St NW;158;38.94773;-77.03284
32025;Carroll & Westmoreland Ave;158;38.97500;-77.01120
31084;Ballenger Ave & Dulaney St;157;38.80267;-77.06357
31719;Oklahoma Ave & Benning Rd NE;157;38.89749;-76.96951
31910;Potomac Ave & Main Line Blvd;157;38.82274;-77.04927
31530;Capitol Ave & Kendall St NE;156;38.91101;-76.98584
31087;Monroe Ave & Leslie Ave;155;38.82093;-77.05309
